blink_data,blink_tick_ms,epoch
0.0,-0.099,1582328708.151901
0.0,-0.098,1582328708.151902
0.0,-0.097,1582328708.151903
0.0,-0.096,1582328708.151904
0.0,-0.095,1582328708.151905
0.0,-0.094,1582328708.151906
0.0,-0.093,1582328708.151907
0.0,-0.092,1582328708.151908
0.0,-0.091,1582328708.151909
0.0,-0.09,1582328708.15191
0.0,-0.089,1582328708.151911
0.0,-0.088,1582328708.151912
0.0,-0.08700000000000001,1582328708.151913
0.0,-0.08600000000000001,1582328708.151914
0.0,-0.085,1582328708.151915
0.0,-0.084,1582328708.151916
0.0,-0.083,1582328708.151917
0.0,-0.082,1582328708.151918
0.0,-0.081,1582328708.151919
0.0,-0.08,1582328708.15192
0.0,-0.079,1582328708.151921
0.0,-0.078,1582328708.151922
0.0,-0.077,1582328708.151923
0.0,-0.076,1582328708.151924
0.0,-0.075,1582328708.151925
0.0,-0.074,1582328708.151926
0.0,-0.073,1582328708.151927
0.0,-0.07200000000000001,1582328708.151928
0.0,-0.07100000000000001,1582328708.151929
0.0,-0.07,1582328708.15193
0.0,-0.069,1582328708.151931
0.0,-0.068,1582328708.151932
0.0,-0.067,1582328708.151933
0.0,-0.066,1582328708.151934
0.0,-0.065,1582328708.151935
0.0,-0.064,1582328708.151936
0.0,-0.063,1582328708.151937
0.0,-0.062,1582328708.151938
0.0,-0.061,1582328708.151939
0.0,-0.06,1582328708.15194
0.0,-0.059000000000000004,1582328708.151941
0.0,-0.058,1582328708.151942
0.0,-0.057,1582328708.151943
0.0,-0.056,1582328708.151944
0.0,-0.055,1582328708.151945
0.0,-0.054,1582328708.151946
0.0,-0.053,1582328708.151947
0.0,-0.052000000000000005,1582328708.151948
0.0,-0.051000000000000004,1582328708.151949
0.0,-0.05,1582328708.15195
0.0,-0.049,1582328708.151951
0.0,-0.048,1582328708.151952
0.0,-0.047,1582328708.151953
0.0,-0.046,1582328708.151954
0.0,-0.045,1582328708.151955
0.0,-0.044,1582328708.151956
0.0,-0.043000000000000003,1582328708.151957
0.0,-0.042,1582328708.151958
0.0,-0.041,1582328708.151959
0.0,-0.04,1582328708.15196
0.0,-0.039,1582328708.151961
0.0,-0.038,1582328708.151962
