quatI,quatJ,quatK,quatReal,quatRadianAccuracy,rot_tick_ms,activityConfidence,tick_ms_activity,rot_epoch
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946699823.207'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946699823.207'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946699823.207'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946699823.207'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946699823.207'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946699822.707'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946699822.707'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946699822.707'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946699822.707'
b'-0.480712890625',b'-0.66583251953125',b'-0.17779541015625',b'0.54217529296875',b'3.1416015625',b'164742',b'',b'0',b'946699987.449'
b'-0.480712890625',b'-0.66571044921875',b'-0.177734375',b'0.5423583984375',b'3.1416015625',b'164786',b'',b'0',b'946699988.993'
b'-0.480712890625',b'-0.66571044921875',b'-0.177734375',b'0.54229736328125',b'3.1416015625',b'164886',b'',b'0',b'946699990.593'
b'-0.48077392578125',b'-0.66571044921875',b'-0.177734375',b'0.54229736328125',b'3.1416015625',b'164986',b'[\x02\x00\x03\x04',b'165184',b'946699991.193'
b'-0.4808349609375',b'-0.66571044921875',b'-0.177734375',b'0.54229736328125',b'3.1416015625',b'165086',b'[\x02\x00\x03\x04',b'165184',b'946699991.293'
b'-0.48077392578125',b'-0.66571044921875',b'-0.17767333984375',b'0.54229736328125',b'3.1416015625',b'165188',b'[\x02\x00\x03\x04',b'165184',b'946699991.395'
b'-0.4808349609375',b'-0.6656494140625',b'-0.17767333984375',b'0.5423583984375',b'3.1416015625',b'165285',b'[\x02\x00\x03\x04',b'165184',b'946699991.492'
b'-0.4808349609375',b'-0.6656494140625',b'-0.17767333984375',b'0.5423583984375',b'3.1416015625',b'165385',b'[\x02\x00\x03\x04',b'165184',b'946699991.592'
b'-0.48077392578125',b'-0.6656494140625',b'-0.17767333984375',b'0.54241943359375',b'3.1416015625',b'165485',b'[\x02\x00\x03\x04',b'165184',b'946699991.192'
b'-0.4808349609375',b'-0.6656494140625',b'-0.17767333984375',b'0.5423583984375',b'3.1416015625',b'165684',b'[\x02\x00\x03\x04',b'165184',b'946699991.391'
b'-0.4808349609375',b'-0.6656494140625',b'-0.17767333984375',b'0.5423583984375',b'3.1416015625',b'165784',b'[\x02\x00\x03\x04',b'165184',b'946699991.491'
b'-0.480712890625',b'-0.66583251953125',b'-0.17779541015625',b'0.542236328125',b'3.1416015625',b'164753',b'',b'0',b'946699987.96'
b'-0.4808349609375',b'-0.6656494140625',b'-0.17767333984375',b'0.5423583984375',b'3.1416015625',b'165983',b'M\x02\x00\x06\x0f',b'166160',b'946699991.69'
