quatI,quatJ,quatK,quatReal,quatRadianAccuracy,rot_tick_ms,activityConfidence,tick_ms_activity,rot_epoch
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946684803.879'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946684803.879'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946684803.879'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946684803.879'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946684803.879'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946684803.379'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946684803.379'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0',b'',b'0',b'946684803.379'
b'0.609130859375',b'0.03955078125',b'0.7908935546875',b'0.04351806640625',b'3.1416015625',b'22793',b'',b'0',b'946684826.172'
b'0.60906982421875',b'0.03961181640625',b'0.79095458984375',b'0.0435791015625',b'3.1416015625',b'22880',b'',b'0',b'946684826.259'
b'0.6090087890625',b'0.0396728515625',b'0.79095458984375',b'0.0435791015625',b'3.1416015625',b'22980',b'',b'0',b'946684826.859'
b'0.6090087890625',b'0.0396728515625',b'0.79095458984375',b'0.0435791015625',b'3.1416015625',b'23080',b'',b'0',b'946684826.959'
b'0.60894775390625',b'0.0396728515625',b'0.791015625',b'0.0435791015625',b'3.1416015625',b'23181',b'',b'0',b'946684827.06'
b'0.60888671875',b'0.0396728515625',b'0.79107666015625',b'0.04351806640625',b'3.1416015625',b'23280',b'[\x02\x00\x03\x04',b'23420',b'946684827.159'
b'0.60888671875',b'0.0396728515625',b'0.79107666015625',b'0.04351806640625',b'3.1416015625',b'23380',b'[\x02\x00\x03\x04',b'23420',b'946684827.259'
b'0.60888671875',b'0.03961181640625',b'0.79107666015625',b'0.04351806640625',b'3.1416015625',b'23480',b'[\x02\x00\x03\x04',b'23420',b'946684827.859'
b'0.60888671875',b'0.0396728515625',b'0.79107666015625',b'0.04351806640625',b'3.1416015625',b'23580',b'[\x02\x00\x03\x04',b'23420',b'946684827.959'
b'0.60888671875',b'0.03973388671875',b'0.79107666015625',b'0.04351806640625',b'3.1416015625',b'23680',b'[\x02\x00\x03\x04',b'23420',b'946684828.059'
b'0.60888671875',b'0.03973388671875',b'0.79107666015625',b'0.0435791015625',b'3.1416015625',b'23780',b'[\x02\x00\x03\x04',b'23420',b'946684828.159'
b'0.60888671875',b'0.03973388671875',b'0.79107666015625',b'0.0435791015625',b'3.1416015625',b'23880',b'[\x02\x00\x03\x04',b'23420',b'946684828.259'
b'0.60888671875',b'0.03973388671875',b'0.79107666015625',b'0.0435791015625',b'3.1416015625',b'23980',b'[\x02\x00\x03\x04',b'23420',b'946684827.859'
b'0.60888671875',b'0.03973388671875',b'0.79107666015625',b'0.0435791015625',b'3.1416015625',b'24080',b'[\x02\x00\x03\x04',b'23420',b'946684827.959'
b'0.60888671875',b'0.03973388671875',b'0.79107666015625',b'0.04351806640625',b'3.1416015625',b'24180',b'[\x02\x00\x03\x04',b'23420',b'946684828.059'
b'0.60888671875',b'0.0396728515625',b'0.79107666015625',b'0.04351806640625',b'3.1416015625',b'24280',b'M\x02\x00\x06\x0f',b'24409',b'946684828.159'
b'0.60888671875',b'0.0396728515625',b'0.79107666015625',b'0.04351806640625',b'3.1416015625',b'24381',b'M\x02\x00\x06\x0f',b'24409',b'946684828.26'
b'0.60888671875',b'0.0396728515625',b'0.79107666015625',b'0.04351806640625',b'3.1416015625',b'24480',b'M\x02\x00\x06\x0f',b'24409',b'946684828.859'
b'0.60894775390625',b'0.0396728515625',b'0.791015625',b'0.04351806640625',b'3.1416015625',b'24580',b'M\x02\x00\x06\x0f',b'24409',b'946684828.959'
b'0.6090087890625',b'0.0396728515625',b'0.791015625',b'0.04351806640625',b'3.1416015625',b'24680',b'M\x02\x00\x06\x0f',b'24409',b'946684829.059'
b'0.60894775390625',b'0.0396728515625',b'0.791015625',b'0.04351806640625',b'3.1416015625',b'24780',b'M\x02\x00\x06\x0f',b'24409',b'946684829.159'
b'0.60894775390625',b'0.0396728515625',b'0.791015625',b'0.04351806640625',b'3.1416015625',b'24880',b'M\x02\x00\x06\x0f',b'24409',b'946684829.259'
b'0.60894775390625',b'0.0396728515625',b'0.791015625',b'0.04345703125',b'3.1416015625',b'24981',b'M\x02\x00\x06\x0f',b'24409',b'946684828.86'
b'0.60894775390625',b'0.03961181640625',b'0.791015625',b'0.04339599609375',b'3.1416015625',b'25080',b'M\x02\x00\x06\x0f',b'24409',b'946684828.959'
b'0.6090087890625',b'0.03961181640625',b'0.791015625',b'0.04339599609375',b'3.1416015625',b'25180',b'M\x02\x00\x06\x0f',b'24409',b'946684829.059'
b'0.60894775390625',b'0.03955078125',b'0.791015625',b'0.04345703125',b'3.1416015625',b'25280',b'7\x04\x00\x06#',b'25400',b'946684829.159'
b'0.60888671875',b'0.03961181640625',b'0.79107666015625',b'0.04345703125',b'3.1416015625',b'25380',b'7\x04\x00\x06#',b'25400',b'946684829.259'
b'0.60888671875',b'0.03961181640625',b'0.79107666015625',b'0.04345703125',b'3.1416015625',b'25481',b'7\x04\x00\x06#',b'25400',b'946684829.86'
b'0.60882568359375',b'0.03955078125',b'0.7911376953125',b'0.04351806640625',b'3.1416015625',b'25581',b'7\x04\x00\x06#',b'25400',b'946684829.96'
b'0.6087646484375',b'0.03955078125',b'0.79119873046875',b'0.04351806640625',b'3.1416015625',b'25680',b'7\x04\x00\x06#',b'25400',b'946684830.059'
b'0.6087646484375',b'0.03955078125',b'0.79119873046875',b'0.04351806640625',b'3.1416015625',b'25781',b'7\x04\x00\x06#',b'25400',b'946684830.16'
b'0.60870361328125',b'0.03955078125',b'0.79119873046875',b'0.04351806640625',b'3.1416015625',b'25880',b'7\x04\x00\x06#',b'25400',b'946684830.259'
b'0.60870361328125',b'0.03948974609375',b'0.79119873046875',b'0.0435791015625',b'3.1416015625',b'25980',b'7\x04\x00\x06#',b'25400',b'946684829.859'
b'0.60882568359375',b'0.03955078125',b'0.7911376953125',b'0.0435791015625',b'3.1416015625',b'26081',b'7\x04\x00\x06#',b'25400',b'946684829.96'
b'0.60882568359375',b'0.03955078125',b'0.7911376953125',b'0.0435791015625',b'3.1416015625',b'26180',b'\x1e\x04\x00\x06<',b'26394',b'946684830.059'
b'0.60882568359375',b'0.03955078125',b'0.7911376953125',b'0.0435791015625',b'3.1416015625',b'26281',b'\x1e\x04\x00\x06<',b'26394',b'946684830.16'
b'0.60882568359375',b'0.03955078125',b'0.79107666015625',b'0.0435791015625',b'3.1416015625',b'26380',b'\x1e\x04\x00\x06<',b'26394',b'946684830.259'
b'0.60882568359375',b'0.03955078125',b'0.79107666015625',b'0.0435791015625',b'3.1416015625',b'26480',b'\x1e\x04\x00\x06<',b'26394',b'946684830.859'
b'0.60888671875',b'0.03955078125',b'0.79107666015625',b'0.0435791015625',b'3.1416015625',b'26580',b'\x1e\x04\x00\x06<',b'26394',b'946684830.959'
b'0.60888671875',b'0.03961181640625',b'0.79107666015625',b'0.04364013671875',b'3.1416015625',b'26680',b'\x1e\x04\x00\x06<',b'26394',b'946684831.059'
b'0.60894775390625',b'0.03961181640625',b'0.791015625',b'0.0435791015625',b'3.1416015625',b'26781',b'\x1e\x04\x00\x06<',b'26394',b'946684831.16'
b'0.60894775390625',b'0.03955078125',b'0.791015625',b'0.0435791015625',b'3.1416015625',b'26880',b'\x1e\x04\x00\x06<',b'26394',b'946684831.259'
b'0.6090087890625',b'0.03955078125',b'0.79095458984375',b'0.0435791015625',b'3.1416015625',b'26980',b'\x1e\x04\x00\x06<',b'26394',b'946684831.859'
b'0.6090087890625',b'0.03955078125',b'0.791015625',b'0.0435791015625',b'3.1416015625',b'27081',b'\x1e\x04\x00\x06<',b'26394',b'946684831.96'
b'0.6090087890625',b'0.03961181640625',b'0.79095458984375',b'0.04351806640625',b'3.1416015625',b'27180',b'\x0e\x03\x00\x04O',b'27386',b'946684832.059'
b'0.60894775390625',b'0.03961181640625',b'0.791015625',b'0.0435791015625',b'3.1416015625',b'27281',b'\x0e\x03\x00\x04O',b'27386',b'946684832.16'
