blink_data,blink_tick_ms,blink_payload_ID,temple_temp,temple_therm,temple_tick_ms,nose_temp,nose_therm,nose_tick_ms,parsed_sec_tick_ms,parsed_sec_epoch,quatI,quatJ,quatK,quatReal,quatRadianAccuracy,rot_tick_ms,activityConfidence,tick_ms_activity,pos_x,pos_y,pos_z,pos_accuracy,tick_ms_pos,pos_epoch,tick_ms,epoch,system_epoch
"('blink_data', b'\xe0\xd2\xc8\xc1\xbc\xb8\xb5\xb3\xb1\xb1\xb0\xaf\xaf\xae\xae\xad\xad\xad\xae\xaf\xae\xae\xac\xad\xae\xad\xae\xae\xad\xa8\xa8\xaa\xaa\xb2\xb1\xb0\xb0\xaf\xaf\xaf\xaf\xaf\xad\xad\xad\xae\xad\xae\xad\xae\xad\xae\xad\xae\xae\xae\xad\xae\xaf\xae\xad\xad\xad\xad\xae\xad\xad\xa7\xa9\xa9\xab\xb2\xb1\xb0\xb0\xb0\xb0\xae\xad\xad\xae\xad\xad\xad\xae\xad\xae\xad\xae\xad\xae\xad\xae\xaf\xaf\xad\xad\xad\xad\xad')","('blink_tick_ms', 10377)","('blink_payload_ID', 0)","('temple_temp', 0)","('temple_therm', 3726)","('temple_tick_ms', 1620646)","('nose_temp', 4018)","('nose_therm', 1610)","('nose_tick_ms', 1620596)","('parsed_sec_tick_ms', 3623941)","('parsed_sec_epoch', 946689240)","('quatI', 0.0)","('quatJ', 0.0)","('quatK', 0.0)","('quatReal', 0.0)","('quatRadianAccuracy', 0.0)","('rot_tick_ms', 0)","('activityConfidence', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00')","('tick_ms_activity', 0)","('pos_x', 0.0)","('pos_y', 0.0)","('pos_z', 0.0)","('pos_accuracy', 0.0)","('tick_ms_pos', 0)","('pos_epoch', 0)","('tick_ms', 10872)","('epoch', 1581713380)",1581641383.8441727
"('blink_data', b'\xad\xad\xad\xad\xa8\xa9\xa9\xaa\xb1\xb1\xb1\xb1\xaf\xae\xae\xae\xad\xae\xad\xae\xad\xae\xad\xae\xad\xae\xad\xae\xad\xae\xad\xae\xad\xae\xaf\xaf\xae\xae\xae\xae\xae\xae\xa7\xa9\xaa\xab\xb2\xb1\xb0\xb0\xaf\xae\xae\xae\xae\xad\xad\xae\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xae\xae\xad\xad\xad\xad\xad\xad\xa8\xa8\xaa\xaa\xb2\xb1\xb0\xb0\xb0\xaf\xae\xae\xae\xad\xad\xad\xad\xad\xad\xad\xad')","('blink_tick_ms', 10377)","('blink_payload_ID', 1)","('temple_temp', 0)","('temple_therm', 3725)","('temple_tick_ms', 1620746)","('nose_temp', 4017)","('nose_therm', 1610)","('nose_tick_ms', 1620696)","('parsed_sec_tick_ms', 3623941)","('parsed_sec_epoch', 946689240)","('quatI', 0.0)","('quatJ', 0.0)","('quatK', 0.0)","('quatReal', 0.0)","('quatRadianAccuracy', 0.0)","('rot_tick_ms', 0)","('activityConfidence', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00')","('tick_ms_activity', 0)","('pos_x', 0.0)","('pos_y', 0.0)","('pos_z', 0.0)","('pos_accuracy', 0.0)","('tick_ms_pos', 0)","('pos_epoch', 0)","('tick_ms', 10972)","('epoch', 1581713380)",1581641383.8941321
"('blink_data', b'\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xa8\xa9\xaa\xaa\xb2\xb1\xb0\xb0\xaf\xae\xae\xae\xae\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xa8\xa8\xaa\xaa\xb2\xb1\xb0\xb0\xb0\xaf\xae\xae\xae\xae\xad\xad\xad\xad\xad\xad\xad\xad\xad\xae\xae\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xa8\xa9\xaa\xaa\xb2\xb0\xb0\xb0')","('blink_tick_ms', 10377)","('blink_payload_ID', 2)","('temple_temp', 0)","('temple_therm', 3726)","('temple_tick_ms', 1620846)","('nose_temp', 4016)","('nose_therm', 1610)","('nose_tick_ms', 1620796)","('parsed_sec_tick_ms', 3623941)","('parsed_sec_epoch', 946689240)","('quatI', 0.0)","('quatJ', 0.0)","('quatK', 0.0)","('quatReal', 0.0)","('quatRadianAccuracy', 0.0)","('rot_tick_ms', 0)","('activityConfidence', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00')","('tick_ms_activity', 0)","('pos_x', 0.0)","('pos_y', 0.0)","('pos_z', 0.0)","('pos_accuracy', 0.0)","('tick_ms_pos', 0)","('pos_epoch', 0)","('tick_ms', 11072)","('epoch', 1581713380)",1581641383.987133
"('blink_data', b'\xaf\xae\xae\xae\xae\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xae\xae\xae\xae\xad\xa8\xa8\xaa\xaa\xb2\xb1\xb0\xb0\xb0\xaf\xae\xae\xae\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xae\xae\xae\xae\xae\xa8\xa9\xaa\xaa\xb2\xb0\xb0\xb0\xaf\xae\xae\xae\xae\xae\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad')","('blink_tick_ms', 10377)","('blink_payload_ID', 3)","('temple_temp', 0)","('temple_therm', 3726)","('temple_tick_ms', 1620946)","('nose_temp', 4016)","('nose_therm', 1609)","('nose_tick_ms', 1620896)","('parsed_sec_tick_ms', 3623941)","('parsed_sec_epoch', 946689240)","('quatI', 0.0)","('quatJ', 0.0)","('quatK', 0.0)","('quatReal', 0.0)","('quatRadianAccuracy', 0.0)","('rot_tick_ms', 0)","('activityConfidence', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00')","('tick_ms_activity', 0)","('pos_x', 0.0)","('pos_y', 0.0)","('pos_z', 0.0)","('pos_accuracy', 0.0)","('tick_ms_pos', 0)","('pos_epoch', 0)","('tick_ms', 11172)","('epoch', 1581713380)",1581641384.094527
"('blink_data', b'\xad\xad\xad\xad\xa7\xa8\xa9\xaa\xb2\xb1\xb0\xb0\xaf\xaf\xae\xae\xae\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xa8\xa9\xaa\xaa\xb2\xb0\xb0\xb0\xaf\xae\xae\xae\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xae\xae\xae\xae\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xa8\xa9\xa9\xaa\xb1\xb1\xb0\xb0\xaf\xaf\xae\xae\xad\xad\xad\xad\xad\xad\xad\xae\xad')","('blink_tick_ms', 10377)","('blink_payload_ID', 4)","('temple_temp', 0)","('temple_therm', 3725)","('temple_tick_ms', 1621046)","('nose_temp', 4017)","('nose_therm', 1610)","('nose_tick_ms', 1620996)","('parsed_sec_tick_ms', 3623941)","('parsed_sec_epoch', 946689240)","('quatI', 0.0)","('quatJ', 0.0)","('quatK', 0.0)","('quatReal', 0.0)","('quatRadianAccuracy', 0.0)","('rot_tick_ms', 0)","('activityConfidence', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00')","('tick_ms_activity', 0)","('pos_x', 0.0)","('pos_y', 0.0)","('pos_z', 0.0)","('pos_accuracy', 0.0)","('tick_ms_pos', 0)","('pos_epoch', 0)","('tick_ms', 11273)","('epoch', 1581713380)",1581641384.2035391
"('blink_data', b'\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xa7\xa9\xa9\xaa\xb1\xb0\xb0\xb0\xaf\xae\xae\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xad\xa7\xa8\xa9\xaa\xb1\xb0\xaf\xaf\xaf\xae\xad\xad\xad\xad\xad\xac\xac\xac\xac\xac\xac\xac\xac\xac\xac\xac\xac\xac\xac\xac\xac\xac\xac\xac\xac\xac\xac\xac\xa6\xa8\xa8\xa9\xb0\xae\xae\xae')","('blink_tick_ms', 10377)","('blink_payload_ID', 5)","('temple_temp', 0)","('temple_therm', 3725)","('temple_tick_ms', 1621146)","('nose_temp', 4015)","('nose_therm', 1610)","('nose_tick_ms', 1621096)","('parsed_sec_tick_ms', 3623941)","('parsed_sec_epoch', 946689240)","('quatI', 0.0)","('quatJ', 0.0)","('quatK', 0.0)","('quatReal', 0.0)","('quatRadianAccuracy', 0.0)","('rot_tick_ms', 0)","('activityConfidence', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00')","('tick_ms_activity', 0)","('pos_x', 0.0)","('pos_y', 0.0)","('pos_z', 0.0)","('pos_accuracy', 0.0)","('tick_ms_pos', 0)","('pos_epoch', 0)","('tick_ms', 11373)","('epoch', 1581713380)",1581641384.2885277
"('blink_data', b'\xad\xad\xac\xac\xac\xac\xac\xac\xac\xac\xab\xab\xab\xab\xab\xab\xab\xab\xab\xab\xab\xab\xab\xab\xab\xab\xab\xab\xab\xa5\xa6\xa8\xa8\xae\xad\xac\xac\xac\xab\xab\xab\xab\xab\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xa9\xa9\xa9\xa9\xa9\xa9\xa4\xa6\xa6\xa7\xac\xab\xab\xab\xaa\xaa\xa9\xa9\xa9\xa9\xa9\xa9\xa9\xa9\xa9\xa8\xa8\xa8\xa8\xa8\xa8\xa8\xa8\xa8\xa8\xa8\xa8\xa8\xa8')","('blink_tick_ms', 10377)","('blink_payload_ID', 6)","('temple_temp', 0)","('temple_therm', 3724)","('temple_tick_ms', 1621246)","('nose_temp', 4017)","('nose_therm', 1609)","('nose_tick_ms', 1621196)","('parsed_sec_tick_ms', 3623941)","('parsed_sec_epoch', 946689240)","('quatI', 0.0)","('quatJ', 0.0)","('quatK', 0.0)","('quatReal', 0.0)","('quatRadianAccuracy', 0.0)","('rot_tick_ms', 0)","('activityConfidence', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00')","('tick_ms_activity', 0)","('pos_x', 0.0)","('pos_y', 0.0)","('pos_z', 0.0)","('pos_accuracy', 0.0)","('tick_ms_pos', 0)","('pos_epoch', 0)","('tick_ms', 11479)","('epoch', 1581713380)",1581641384.403852
"('blink_data', b'\xa8\xa8\xa8\xa8\xa2\xa4\xa5\xa5\xaa\xa9\xa8\xa9\xa9\xa8\xa8\xa7\xa7\xa7\xa7\xa7\xa7\xa7\xa7\xa7\xa7\xa7\xa7\xa6\xa6\xa6\xa6\xa6\xa6\xa6\xa6\xa6\xa6\xa6\xa6\xa6\xa6\xa6\xa1\xa3\xa3\xa3\xa8\xa7\xa7\xa7\xa6\xa6\xa6\xa6\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa5\xa4\xa4\xa4\xa4\xa4\xa4\xa4\xa4\xa4\xa4\xa4\xa4\x9f\xa0\xa1\xa1\xa6\xa5\xa4\xa5\xa5\xa4\xa4\xa4\xa4\xa3\xa3\xa3\xa3\xa3\xa3\xa3\xa3')","('blink_tick_ms', 10377)","('blink_payload_ID', 7)","('temple_temp', 0)","('temple_therm', 3725)","('temple_tick_ms', 1621346)","('nose_temp', 4016)","('nose_therm', 1609)","('nose_tick_ms', 1621296)","('parsed_sec_tick_ms', 3623941)","('parsed_sec_epoch', 946689240)","('quatI', 0.07403564453125)","('quatJ', 0.174560546875)","('quatK', 0.9794921875)","('quatReal', 0.06787109375)","('quatRadianAccuracy', 3.1416015625)","('rot_tick_ms', 11277)","('activityConfidence', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00')","('tick_ms_activity', 0)","('pos_x', 0.0)","('pos_y', 0.0)","('pos_z', 0.0)","('pos_accuracy', 0.0)","('tick_ms_pos', 0)","('pos_epoch', 0)","('tick_ms', 11582)","('epoch', 1581713380)",1581641384.5108814
"('blink_data', b'\xa3\xa3\xa3\xa3\xa3\xa3\xa2\xa2\xa2\xa2\xa2\xa2\xa2\xa2\xa2\xa2\xa2\x9e\x9f\xa0\xa0\xa4\xa3\xa3\xa3\xa3\xa2\xa2\xa2\xa2\xa2\xa1\xa1\xa1\xa1\xa1\xa1\xa1\xa1\xa1\xa1\xa1\xa1\xa1\xa1\xa1\xa1\xa0\xa0\xa0\xa0\xa0\xa0\xa0\x9b\x9d\x9e\x9e\xa2\xa1\xa1\xa1\xa1\xa1\xa0\xa0\xa0\xa0\xa0\xa0\xa0\x9f\x9f\x9f\x9f\x9f\x9f\x9f\x9f\x9f\x9f\x9f\x9f\x9f\x9f\x9f\x9f\x9f\x9f\x9e\x9e\x9e\x9b\x9c\x9c\x9c\xa0\x9f\x9f\xa0')","('blink_tick_ms', 10377)","('blink_payload_ID', 8)","('temple_temp', 0)","('temple_therm', 3727)","('temple_tick_ms', 1621446)","('nose_temp', 4016)","('nose_therm', 1610)","('nose_tick_ms', 1621396)","('parsed_sec_tick_ms', 3623941)","('parsed_sec_epoch', 946689240)","('quatI', 0.07171630859375)","('quatJ', 0.174072265625)","('quatK', 0.97998046875)","('quatReal', 0.0650634765625)","('quatRadianAccuracy', 3.1416015625)","('rot_tick_ms', 11377)","('activityConfidence', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00')","('tick_ms_activity', 0)","('pos_x', 0.0)","('pos_y', 0.0)","('pos_z', 0.0)","('pos_accuracy', 0.0)","('tick_ms_pos', 0)","('pos_epoch', 0)","('tick_ms', 11685)","('epoch', 1581713380)",1581641384.6108472
"('blink_data', b'\x9f\x9f\x9f\x9f\x9e\x9e\x9e\x9e\x9e\x9e\x9e\x9e\x9e\x9e\x9e\x9d\x9d\x9d\x9d\x9d\x9d\x9d\x9d\x9d\x9d\x9d\x9d\x9d\x9d\x98\x9a\x9b\x9b\x9e\x9d\x9d\x9e\x9e\x9d\x9d\x9d\x9d\x9d\x9d\x9c\x9c\x9c\x9c\x9c\x9c\x9c\x9c\x9c\x9d\x9c\x9c\x9c\x9c\x9c\x9c\x9c\x9c\x9c\x9c\x9c\x9c\x9c\x98\x99\x99\x99\x9d\x9c\x9c\x9d\x9c\x9c\x9c\x9c\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9a\x9a\x9a\x9b\x9b\x9b\x9b\x9b\x9b\x9b')","('blink_tick_ms', 10377)","('blink_payload_ID', 9)","('temple_temp', 0)","('temple_therm', 3725)","('temple_tick_ms', 1621546)","('nose_temp', 4018)","('nose_therm', 1610)","('nose_tick_ms', 1621496)","('parsed_sec_tick_ms', 3623941)","('parsed_sec_epoch', 946689240)","('quatI', 0.07293701171875)","('quatJ', 0.17425537109375)","('quatK', 0.97991943359375)","('quatReal', 0.06378173828125)","('quatRadianAccuracy', 3.1416015625)","('rot_tick_ms', 11476)","('activityConfidence', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00')","('tick_ms_activity', 0)","('pos_x', 0.0)","('pos_y', 0.0)","('pos_z', 0.0)","('pos_accuracy', 0.0)","('tick_ms_pos', 0)","('pos_epoch', 0)","('tick_ms', 11788)","('epoch', 1581713380)",1581641384.709697
