temple_temp,temple_therm,temple_tick_ms,nose_temp,nose_therm,nose_tick_ms,nose_epoch,temple_epoch
0.0,3743.0,8481.0,0.0,0.0,8436.0,946684809.554,946684809.599
0.0,3743.0,8581.0,939.0,1566.0,8531.0,946684809.649,946684809.699
0.0,3741.0,8681.0,994.0,1566.0,8631.0,946684809.749,946684809.799
0.0,3739.0,8781.0,1046.0,1566.0,8731.0,946684809.849,946684809.899
0.0,3731.0,8881.0,1098.0,1567.0,8831.0,946684809.949,946684809.999
0.0,3725.0,8981.0,1109.0,1567.0,8931.0,946684810.549,946684810.599
0.0,3709.0,9081.0,1173.0,1566.0,9031.0,946684810.649,946684810.699
40.0,3709.0,9181.0,1191.0,1567.0,9131.0,946684810.749,946684810.799
94.0,3721.0,9281.0,1200.0,1567.0,9231.0,946684810.849,946684810.899
139.0,3739.0,9381.0,1211.0,1566.0,9331.0,946684810.949,946684810.999
176.0,3769.0,9481.0,1224.0,1567.0,9431.0,946684811.549,946684811.599
208.0,3797.0,9581.0,1251.0,1566.0,9531.0,946684811.649,946684811.699
177.0,3783.0,9681.0,1262.0,1567.0,9631.0,946684811.749,946684811.799
169.0,3761.0,9781.0,1261.0,1566.0,9731.0,946684811.849,946684811.899
162.0,3741.0,9881.0,1234.0,1567.0,9831.0,946684811.949,946684811.999
120.0,3744.0,9981.0,1192.0,1567.0,9931.0,946684811.549,946684811.599
176.0,3745.0,10081.0,1206.0,1568.0,10031.0,946684811.649,946684811.699
440.0,3757.0,10181.0,1238.0,1568.0,10131.0,946684811.749,946684811.799
720.0,3767.0,10281.0,1278.0,1567.0,10231.0,946684811.849,946684811.899
886.0,3757.0,10381.0,1326.0,1567.0,10331.0,946684811.949,946684811.999
1105.0,3787.0,10481.0,1384.0,1567.0,10431.0,946684812.549,946684812.599
1109.0,3781.0,10581.0,1321.0,1567.0,10531.0,946684812.649,946684812.699
1132.0,3789.0,10681.0,1269.0,1567.0,10631.0,946684812.749,946684812.799
1118.0,3787.0,10781.0,1555.0,1566.0,10731.0,946684812.849,946684812.899
1066.0,3779.0,10881.0,1531.0,1568.0,10831.0,946684812.949,946684812.999
1028.0,3784.0,10981.0,1494.0,1568.0,10931.0,946684812.549,946684812.599
996.0,3785.0,11081.0,1478.0,1567.0,11031.0,946684812.649,946684812.699
968.0,3777.0,11181.0,1447.0,1568.0,11131.0,946684812.749,946684812.799
945.0,3777.0,11281.0,1397.0,1568.0,11231.0,946684812.849,946684812.899
920.0,3775.0,11381.0,1356.0,1568.0,11331.0,946684812.949,946684812.999
894.0,3771.0,11481.0,1360.0,1568.0,11431.0,946684813.549,946684813.599
